N_CTX,Triton [FP16],Triton [FP8]
1024.000000,2.829449,19.770053
2048.000000,17.195730,30.149507
4096.000000,17.337207,29.999492
8192.000000,17.894205,30.222839
16384.000000,18.471468,31.549094
