N_CTX,Triton [FP16],Triton [FP8]
1024.000000,18.983737,32.266615
2048.000000,18.731103,32.815126
4096.000000,18.825686,31.790082
8192.000000,18.892596,32.022840
16384.000000,18.836625,31.743797
